,smiles,mp,db,db_index,train/test
55,CCCCCCCCCCCCCCCCC(C)C,288.15,OCHEM,16712,True
56,CC(=NNC(N)=O)C(=O)NC1=CC=C(Br)C=C1,517.15,OCHEM,12171,True
58,ClC1=CC2=C(OC3=C(O2)C=CC=C3)C=C1Cl,436.15,OCHEM,11294,True
59,N#CC1=CC2=C(C=CC=C2)C2=C1C=CC=C2,384.15,OCHEM,15130,True
60,NC1=CC(F)=C(F)C=C1,294.15,OCHEM,19642,True
61,NC1=NC(N)=C(N=O)C(N)=N1,573.15,OCHEM,4232,False
63,CCOCN1C(=C(C#N)C(Br)=C1C(F)(F)F)C1=CC=C(Cl)C=C1,374.15,OCHEM,21611,True
65,NS(=O)(=O)C1=C(F)C=CC(F)=C1,414.15,OCHEM,18924,True
68,OC1=CC=C2C[C@H]3N(CC4CC4)CC[C@@]45[C@@H](OC1=C24)C(=C)CC[C@@]35O,462.15,OCHEM,11532,True
69,NC1=CC=C(NC2=CC=CC=C2)C=C1,347.15,OCHEM,21481,True
71,ClC1=C(C2=NON=C2C=C1)S(Cl)(=O)=O,347.15,OCHEM,2301,True
74,COC1=C(C)C2=CC=CC=C2C=C1,399.15,OCHEM,12472,True
76,CNCC(O)C1=CC(O)=CC=C1,443.65,OCHEM,17283,True
79,CC(C)CC1CCCCC1,178.15,OCHEM,9926,True
80,OC(=O)COC1=CC=C(Cl)C(Cl)=C1,412.15,OCHEM,8969,True
82,NCCC1=CC=C(C=C1)S(N)(=O)=O,424.15,OCHEM,20037,True
84,CCCCCN1C(O)=NN=C1S,421.15,OCHEM,5180,True
87,NC1=C(Cl)C=C(C=C1Cl)S(N)(=O)=O,480.15,OCHEM,19702,True
90,NC1=CN=C(C=C1)C(O)=O,491.15,OCHEM,20688,True
91,CN1N=CC2=C1N=CN=C2Cl,371.65,OCHEM,3453,True
93,OC(=O)C1=CC2=C(OC1)C=CC(Cl)=C2,518.15,OCHEM,2491,True
94,ClC1CC2=CC3=C(OCO3)C=C12,328.15,OCHEM,17128,True
95,C=COC=C,172.15,OCHEM,7906,True
97,O=CC(C=O)C1=NC=CN=C1,477.15,OCHEM,4548,True
98,FC(F)(F)C1=NC(=NC(=N1)C(F)(F)F)C(F)(F)F,248.35,OCHEM,306,True
100,CC(C)(C)OC(=O)N1CCN(CC1)C1=NC=C(I)C=C1,377.15,OCHEM,4881,True
101,BrC1=CC2=C(C=C1)N=CS2,326.65,OCHEM,1737,True
104,NNC1=NC2=CC=C(Cl)C=C2S1,537.15,OCHEM,5930,True
106,COC1=C(OC)C=C2C(CCO)NCCC2=C1,378.15,OCHEM,1427,True
107,CCOC1=CC=C(C=C1)C1=NN=C2SC(NN12)C=CC1=CC=CC=C1,500.15,OCHEM,14723,True
111,O=CC1=CC=C(C=C1)C1=NC=CC=N1,381.15,OCHEM,3473,True
112,CCOC(=O)C1C(C(C(=O)OCC)C(O)(NC1(O)C(F)(F)F)C(F)(F)F)C1=CC=C(OC)C=C1,382.15,OCHEM,15880,True
113,CC1=CC=C(C)C(C=C)=C1,238.15,OCHEM,10050,True
114,ON=C(Cl)C1=CC=C(Cl)C=C1Cl,367.15,OCHEM,6070,True
118,COC1=C(C=C(/C(O)=O)C2=CC=CC=C2)C=CC=C1,431.15,OCHEM,11235,True
119,ClCC(=O)C1=CC=C(C=C1)C(=O)CCl,426.15,OCHEM,12552,True
121,OC(=O)C1=C(C=CC=C1)C(=O)NC1=CC=C(C=C1)S(=O)(=O)N=C1/NC=CS1,546.15,OCHEM,7516,True
125,CC1=CC(NC(=O)C2=NC=C(N=C2)C(C)(C)C)=CC=C1,368.15,OCHEM,17720,True
126,ClC1=C(Cl)C=C(C=C1)C1=CSC(CC#N)=N1,379.15,OCHEM,5144,False
128,ClC1=CC=CC(OCC#N)=C1,302.15,OCHEM,19898,True
129,CC(=O)NC1=CC=C(Br)C=C1C,435.15,OCHEM,1246,True
130,NC(=S)C1=CC=CN=C1,461.15,OCHEM,912,True
136,N#CC1=C(C=NC=C1)C#N,353.15,OCHEM,9898,True
141,C(C1CO1)N1C2=CC=CC=C2C2=C1C=CC=C2,384.15,OCHEM,6374,True
143,C#CC1=CC=C2C=CC3=C4C(C=CC1=C24)=CC=C3,387.15,OCHEM,18611,True
144,CCN(CC)C1=CC(O)=CC=C1,351.15,OCHEM,7605,True
145,COC(=O)CC(=O)C1=CC=CN=C1,311.15,OCHEM,4553,True
147,NC1=CC=CC=C1CN1CCOCC1,343.65,OCHEM,5402,True
149,NC1=NN=C(N1)C1CC1,402.15,OCHEM,3928,True
151,CC(C)(C)CC(C)(C)N,206.15,OCHEM,540,True
153,OC(=O)CCP(O)(O)=O,439.15,OCHEM,6992,True
160,CN1C2=CC=CC=C2C(C)(C)C11OC2=C(C=C1)C=C(C=C2)[N+]([O-])=O,453.15,OCHEM,9850,True
163,NC1=C(Br)C=C(C=C1)C(F)(F)F,302.65,OCHEM,19134,True
164,CC(NC(=O)C(C)NC(=O)C(C)NC(C)=O)C(O)=O,521.15,OCHEM,1128,False
170,OC1=CC=C(C=C1[N+]([O-])=O)[N+]([O-])=O,389.15,OCHEM,7208,True
172,NC1=C(C=C(Br)C=C1)C(O)=O,493.15,OCHEM,351,True
174,NC(=O)OCCCC1=CC=CC=C1,375.15,OCHEM,9396,True
175,COC(=O)C1CC(O)CN1C(=O)OC(C)(C)C,366.65,OCHEM,2580,False
176,CCCCCCCCCCCCN,301.45,OCHEM,8098,True
177,CCN(CC)C(=O)C1CN(C)C2CC3=C(Br)NC4=CC=CC(=C34)C2=C1,397.15,OCHEM,8493,True
178,NNC1=CC=C(C=C1[N+]([O-])=O)[N+]([O-])=O,470.65,OCHEM,18124,True
180,CCOC(=O)C1=C(NC(=O)C(Cl)Cl)SC=C1C1=CC=CC=C1,365.65,OCHEM,14483,True
185,CC1CC(=N/NC(N)=O)C2=CC(C)=CC=C12,500.15,OCHEM,13055,True
188,O=C=NC1=CC2=CC=CC=C2C=C1,327.65,OCHEM,19488,True
190,COC1=CC2=C(CC3=CC(OC)=C(OC)C=C3CC3=CC(OC)=C(OC)C=C3C2)C=C1OC,498.15,OCHEM,6677,True
191,NC(=O)CC1=CC=CS1,420.15,OCHEM,16767,True
194,O=C(NC1=CC2=NN(N=C2C=C1)C1CCCCC1)C1=CC=C(C=C1)N(=O)=O,509.15,OCHEM,12042,True
195,ClC1=CC=C(O1)C=O,308.15,OCHEM,16944,True
196,CC1=CC(F)=C(F)C=C1N,330.15,OCHEM,20157,False
198,CC(O)C1=CC=CC(N)=C1,341.15,OCHEM,16609,True
201,FC1=C(Cl)C=CC(CBr)=C1,305.15,OCHEM,15712,False
204,NC(=O)C1=NC2=C(C=CC=C2)N=C1,468.15,OCHEM,14285,True
207,CCOC(=O)C1=C(N)C2=CC(C(=O)OCC)=C(N=C2S1)C(F)(F)F,455.15,OCHEM,3745,True
208,COC(=O)C=C(/C)OP(=O)(OC)OC,294.15,OCHEM,8296,True
209,CSC1=NC=C(C#N)C(N)=N1,514.65,OCHEM,20201,True
212,CN1C2=C(C=CC=C2)N=C1C(=NNC1=CC=C(Cl)C=C1)C#N,488.15,OCHEM,13472,True
213,COC(=O)C1=CC(OC)=C(C)C(OC)=C1,377.15,OCHEM,12232,True
215,O=C(OCC(COC(=O)C1=CC=CC=C1)OC(=O)C1=CC=CC=C1)C1=CC=CC=C1,349.15,OCHEM,9134,True
216,CCOC1=CC=C(C=CC(O)=O)C=C1,469.15,OCHEM,5327,True
217,C(P(CC1=CC=CC=C1)CC1=CC=CC=C1)C1=CC=CC=C1,369.15,OCHEM,21565,True
218,CSC(SC)=C(C#N)C(=O)NCC1=CC=CC=C1,354.15,OCHEM,15206,True
220,CC1=CC(Br)=C(Br)C=C1Br,386.65,OCHEM,18814,True
226,O[Si](O)(C1=CC=CC=C1)C1=CC=CC=C1,474.65,OCHEM,18249,False
228,CCC1=C(CO)C2=C(C3=CC=CC=C3N2)C(=C1)C(F)(F)F,425.15,OCHEM,12839,True
230,OC(=O)CS(=O)(=O)C=CC1=CC=CC=C1,425.15,OCHEM,5112,True
231,ClC1=CC=C(OCC(=O)NC2=NC3=C(S2)C=CC=C3)C=C1,412.15,OCHEM,18110,True
232,NNC(=O)C(O)C1=CC=CC=C1,402.65,OCHEM,21254,True
233,ClC1=CC(Cl)=C(NN=C(C#N)C2=NC3=C(S2)C=CC=C3)C=C1Cl,487.15,OCHEM,15778,True
234,NCP(O)(O)=O,573.15,OCHEM,6652,True
235,CC(C)(C)NC(=O)C1CC2CCCCC2CN1,389.15,OCHEM,1376,False
237,ClC1=CC(Cl)=C(CC#N)C=C1,334.65,OCHEM,4174,True
239,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,223.15,OCHEM,5451,True
241,ClC1=CC=C(C=C1)N1C=CC=C1,362.65,OCHEM,761,False
242,CCCCN1C(=O)CC(=O)N(CCCC)C1=S,335.15,OCHEM,18501,True
244,NC(=O)C1=C(F)C(F)=C(N)C(F)=C1F,458.15,OCHEM,921,True
246,CC1=CC(=CC(C)=C1O)C(C)(C)C,355.55,OCHEM,9567,True
248,ClC1=NC=NC2=C1C1=C(CCC1)S2,382.15,OCHEM,2879,False
252,CCOC(=O)C1=C(N)N(C)N=C1,375.15,OCHEM,1628,True
253,NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=C(C=C1)S(N)(=O)=O,410.15,OCHEM,8850,True
258,CC(=O)C1=C(O)C(C)=C(OCC=C)C(CC2=CC(C(C)=O)=C(O)C(C)=C2OCC=C)=C1,416.15,OCHEM,12324,True
259,CC1=CC=CC(C)=C1N(CN1C=CC=N1)C(=O)CCl,358.15,OCHEM,11662,True
261,FC(F)(F)C1=CC(=CC(=C1)C#N)C(F)(F)F,291.15,OCHEM,19669,True
264,CC1=CC=C(C=C1C#N)[N+]([O-])=O,379.15,OCHEM,19470,True
265,CC1=NC(=CS1)C1=CC=C(C=C1)C(Cl)=O,394.15,OCHEM,5197,True
266,CC1=C(CC2=CC=CC=C2)C(C)=NN1,392.15,OCHEM,18074,True
273,C1CCCCCC=CCCCC1,264.15,OCHEM,473,True
276,N#CC1=CC=C(CN2C=CC=N2)C=C1,354.15,OCHEM,5432,False
277,CC(=O)C1=CC=C(NC(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C=C1,497.15,OCHEM,12361,True
278,CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C,329.65,OCHEM,10933,True
281,NC1=C2CCCCC2=CC=C1,311.15,OCHEM,10140,True
282,COC1=CC=C(C=C1Br)C#N,395.15,OCHEM,19831,True
288,BrC1=C2C=CC(C=O)=CC2=CC=C1,351.15,OCHEM,12915,True
293,CN1N=C(C)C(Br)=C1NC(=O)CCl,425.15,OCHEM,3584,True
296,CN(C)C1=CC=C(C=C2C(=O)NC(=O)NC2=O)C=C1,518.15,OCHEM,13975,True
301,NC1=CC=C(C=C1)C(F)(F)F,311.15,OCHEM,8425,True
303,CC1=CC(Cl)=CC(Cl)=C1C#N,353.15,OCHEM,18860,True
305,[O-][N+](=O)C1=CC=CC2=C1NC=C2,369.65,OCHEM,827,True
308,CC1=C2CC(=O)C2=C(C)C(C)=C1C,433.15,OCHEM,13268,True
311,CC(C)C1=C(O)C(=O)C2=C(C=C[C@H]3C(C)(C)CCC[C@]23C)C1=O,440.15,OCHEM,13191,False
313,C1N2CN3CN1CN(C2)C3,553.15,OCHEM,807,True
314,CCN(CC(C)=C)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,328.65,OCHEM,11534,True
315,NC1=CC2=CC=CC=C2C=N1,428.15,OCHEM,6357,True
317,OC(=O)C1=C(F)C=CC(O)=C1,478.15,OCHEM,19360,True
318,CC1=CC=C(C=C1)C1=CSC2=NC(=CC(=O)N12)C(F)(F)F,459.15,OCHEM,18081,True
319,NC1=NSC2=C1C=C(C=C2)[N+]([O-])=O,473.15,OCHEM,1540,True
322,ClC1=CC=C(NN=C(C#N)C2=NC(=CS2)C2=CC=C(Cl)C=C2)C=C1,513.15,OCHEM,13750,True
323,COC1=C(N)C=C(C=C1)C1CCCCC1,340.15,OCHEM,3768,True
328,CCOC1=C(Br)C=C(Br)C=C1C=O,360.35,OCHEM,5308,True
329,OC1=CC=C2C=CC=CC2=C1N=O,383.15,OCHEM,8151,True
331,CCCCC(CO)(CO)CCCC,313.15,OCHEM,18751,True
333,CCOC1OC2C(CO)OC(C2O1)N1C=NC2=C1N=CN=C2N,503.15,OCHEM,3011,True
334,CCCCCCC(=O)CCCCCC,306.15,OCHEM,8443,True
337,[O-][N+](=O)C1=CC=CC=C1C(F)(F)F,305.65,OCHEM,8386,True
338,C[C@@H](CCC(O)(Cl)Cl)C1CCC2C3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)C3C[C@H](O)[C@]12C,439.15,OCHEM,13883,True
339,CC1(C)C2CCC1(C)C(=O)CC2,466.15,OCHEM,13068,True
340,COC1=CC=C(C=C1)N1C(=S)NC(=O)C2=C1N=CC=C2,535.15,OCHEM,4818,True
341,CCOC(=O)CC1=NC(O)=CS1,427.15,OCHEM,7050,True
342,ClCC1=NOC(=N1)C1=CSC=C1,342.65,OCHEM,6492,True
347,ClS(=O)(=O)C1=CC=C(S1)C1=CC=CC=C1,359.15,OCHEM,2980,True
349,NC1=C(CO)C=NC=C1,441.15,OCHEM,20232,True
360,ClC1=CC=C(C=C2N=C(OC2=O)C2=CC=CC=C2)C(Cl)=C1,453.15,OCHEM,18233,True
362,CC1=CC(=NO1)C(N)=S,443.15,OCHEM,6037,True
363,CC1=C(OC2=C1C=CC=C2)C(Cl)=O,345.15,OCHEM,6525,True
366,CS(=O)(=O)OCCCNCCCOS(C)(=O)=O,389.15,OCHEM,10958,True
367,CC(C)[Si](C(C)C)(C(C)C)C1SCCCS1,321.15,OCHEM,18035,True
370,OC(=O)C1=CC2=C(SC=C2)S1,509.15,OCHEM,2662,True
372,COC1=CC(NS(C)(=O)=O)=CC=C1NC1=C2C=CC=CC2=NC2=CC=CC=C12,508.15,OCHEM,11478,True
385,OC(=O)C1=NC(=CC=C1)N1CCCCC1,372.65,OCHEM,5415,True
386,COC1=C(O)C=C2OC(=O)C=CC2=C1,477.15,OCHEM,7623,True
387,[O-][N+](=O)C1=CC(Cl)=C(OC2=CC=C(Cl)C=C2Cl)C=C1,344.15,OCHEM,19198,True
389,CC1=CC=C(C=C1C)N1CCNCC1,336.15,OCHEM,16626,True
390,CC(C)(C)OC(=O)N1CCC(CC1)C(N)=O,437.15,OCHEM,6168,True
391,CS(=O)(=O)C1=C(C#N)C(=CS1)C1=CC=CC=C1,438.15,OCHEM,5040,False
393,CC(O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,345.15,OCHEM,18544,True
396,CC1=CC=C(C=C1S(Cl)(=O)=O)[N+]([O-])=O,317.15,OCHEM,19469,True
397,CC1(O)CC2=CC=CC=C12,351.15,OCHEM,17573,True
398,O=C1SS(=O)(=O)C2=CC=CC=C12,378.15,OCHEM,16172,True
400,CCC1=NC=CC(=C1)C(N)=S,437.15,OCHEM,7147,True
403,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,300.15,OCHEM,15110,True
408,OC(=O)C1=CC(=C(F)C(=C1)[N+]([O-])=O)C(F)(F)F,394.65,OCHEM,20455,True
413,CC1=CC=NC2=C1C=CC1=C2N=CC=C1C,467.15,OCHEM,20177,True
416,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CO1)C(=O)OC,459.15,OCHEM,17416,True
420,[O-][N+](=O)C1=CC(=C(C=C1)S(Cl)(=O)=O)[N+]([O-])=O,375.15,OCHEM,18890,False
421,CCN1C(=O)C=C(N)N(CC=C)C1=O,416.15,OCHEM,9363,True
422,CC(CN1CCCCC1)CC1=CC=C(C=C1)C(C)(C)C,208.55,OCHEM,21654,True
423,CSC(SC)=C(C#N)C(=O)C1=CC(=CC=C1)C(F)(F)F,333.15,OCHEM,7077,True
428,COC1=CC=C2NC3=C(CCNC3C)C2=C1,423.15,OCHEM,9799,True
431,O=C1CCC(O1)C1=CC=CC=C1,309.65,OCHEM,9654,True
433,[O-][N+](=O)C1=CC(Cl)=C(C=C1)N=C=O,334.15,OCHEM,19249,True
434,CC(C)(N1N=C2C=CC=CC2=N1)C(N)=O,447.15,OCHEM,401,True
441,CCCOC1=CC=C(C=C1)C(N)=NO,379.15,OCHEM,2849,True
444,COC(=O)C1=C(Cl)C(=C(SC)S1)S(=O)(=O)C(C)C,415.15,OCHEM,3095,True
445,S(SC1=NC=CC=N1)C1=NC=CC=N1,413.15,OCHEM,5229,True
446,COC1=CC=C(C=C1C=O)C(F)(F)F,360.15,OCHEM,19451,True
449,CCCCCCCCCCS,247.15,OCHEM,8215,True
450,CN1CCN(CC1)C1=NC2=C(CC3=C1C=CC=C3)C=CC=C2,410.15,OCHEM,10032,True
451,CC(CO)=CCNC1=C2NC=NC2=NC=N1,481.15,OCHEM,9903,True
454,CC(=CC1=CC=CC=C1)C(Cl)=O,318.65,OCHEM,6307,False
457,CC(=O)C1=CCCCC1,346.15,OCHEM,9600,True
458,CC1=C(C(NC(=O)N1)C1=CC=CO1)C(=O)OC(C)(C)C,481.15,OCHEM,15692,True
460,CCS(=O)(=O)CCO,319.15,OCHEM,8672,True
461,CC(C)(C)OOC(C)(C)C,243.15,OCHEM,782,True
465,ClC1=C(Cl)C(I)=CC=C1,308.15,OCHEM,18471,True
466,CC1=CC=CC=C1CC(O)=O,361.15,OCHEM,21494,False
467,O=C1CCCC2C3CCCN4CCCC(CN12)C34,349.15,OCHEM,8707,True
468,COC1=CC(C=O)=C(C=C1OC)[N+]([O-])=O,406.15,OCHEM,20925,True
469,C1CN=C(NC2=NN=C(S2)C2=CC=CC=C2)N1,466.15,OCHEM,14931,True
471,ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,433.15,OCHEM,10217,True
473,OC1=C(Cl)N=CC=C1,443.15,OCHEM,19221,True
474,CC1=C(C)C(Br)=CC(C(Cl)=O)=C1C,334.15,OCHEM,5923,True
476,OC(=O)C1=C(C=C(O)C=C1)C(F)(F)F,433.15,OCHEM,20471,True
477,NC1=CC(F)=C(C=C1F)C#N,369.15,OCHEM,3652,True
479,COC1=CC=C(C(C)=C1)[N+]([O-])=O,322.15,OCHEM,19985,True
480,NC(=O)NCC#C,403.15,OCHEM,2023,False
481,NC(=O)NC1=CC=CC(O)=C1,456.15,OCHEM,1059,True
482,CN1C2=C(C3=C(CCCC3)S2)C(=O)N(C1=O)C1=CC(Cl)=CC=C1,513.15,OCHEM,14407,True
483,OC1=CC=C(C=C1)N1C=CC=C1,395.15,OCHEM,6542,True
484,OC1=C(C=CC=C1)N1CCOCC1,488.15,OCHEM,6443,True
486,NC1=CC=C(SCC(O)=O)C=C1,471.15,OCHEM,3161,False
487,CC(=C)N1C(=O)NC2=C1C=CC=C2,395.15,OCHEM,5655,False
490,CCOP(=O)(N1CC2=C(C[C@@H]1C(=O)NO)C=CC=C2)C1=CC=C(OC)C=C1,440.25,OCHEM,16830,True
491,NC(CC1=CC=C(Br)C=C1)C(O)=O,535.15,OCHEM,1132,True
497,OC(C1C(=O)N(N=C1C(F)(F)F)C1=CC=CC=C1)C1=CC=C(Cl)C=C1,441.15,OCHEM,13609,True
499,CCCCCCCC#C,223.15,OCHEM,10432,True
501,NC1=NC=C(F)C=C1,368.15,OCHEM,19082,True
502,OC1(CCCCC1)C#N,308.15,OCHEM,9599,True
507,OC(=O)C1=C(CS(=O)C2=CC=CC=C2)C=CC=C1,459.15,OCHEM,4753,True
515,OCCN(CCO)CCCC1=CC=C(COC2=CC=CC=C2)C=C1,336.65,OCHEM,14977,True
521,[O-][N+](=O)C1=CC=C(C=C1)C(=O)C=CC1=CC=CS1,442.15,OCHEM,18428,False
523,CC(=O)N(C(C)=O)C1=CC=CC=C1,310.65,OCHEM,9870,True
524,CC(=O)ON1C2=CC=C(OC(C)=O)C=C2C(OC(C)=O)=C1C1=CC=CC=C1,468.15,OCHEM,12462,False
525,N#CC1=CC=C(C=C1)C1=CC=CC=C1,359.15,OCHEM,20408,True
526,OCC1OC(CC1O)N1C=NC2=C1N=CNC2=O,523.15,OCHEM,1105,True
529,CN1C(=O)C(C2=NNC(=O)C2=C/C2=CC=CC(O)=C2)=C(O)C2=CC=CC=C12,563.15,OCHEM,13955,True
530,ClC1=CN=CC(Cl)=C1Cl,345.15,OCHEM,19597,True
531,CC(=O)CCC1=C(C2=CC=C(C)O2)C2=C(O1)C(Br)=CC(Br)=C2,381.15,OCHEM,13122,False
536,ClCC#CCN1C(=O)C2=CC=CC=C2C1=O,390.65,OCHEM,21377,True
539,OC(=O)C1=CC=CC=C1C#N,484.15,OCHEM,19319,True
545,CCOC(=O)C1=C(N)SC2=C1CCC2,365.15,OCHEM,6670,True
547,CC(C)OC(=O)C1=C(C=CC=N1)C(C)=O,313.15,OCHEM,21244,True
548,O=C1NCCSC1C1=CC=CC=C1,433.15,OCHEM,2202,True
549,CC1=CC(O)=C2C(=O)C3=C(O)C=C(O)C=C3C(=O)C2=C1,530.15,OCHEM,8706,True
551,CCCCCCCCCCCCCC(=O)OC(=O)CCCCCCCCCCCCC,326.55,OCHEM,9251,True
553,CCCCCCCCCCCCC1=CC=CC=C1,276.15,OCHEM,8077,True
554,CCNCC,223.15,OCHEM,7905,True
555,COC1=CC=C(C=C2/SC(NC2=O)=N/N=C/C(C)C)C=C1,532.15,OCHEM,14453,True
557,NC(=O)CC(O)C(O)=O,421.15,OCHEM,11656,True
562,NC1=CC=CC=C1C1=CC2=CC=CC=C2N1,426.15,OCHEM,12868,False
563,COC1=C(OC)C=C(C(C=C[N+]([O-])=O)=C1)[N+]([O-])=O,441.15,OCHEM,13145,True
564,OC(=O)CC1=C(C=CC(O)=O)C=C2CCC(=O)NC2=C1,507.15,OCHEM,12605,True
566,COC1=C(C=CC=C1)N1CCN(CC(N)=S)CC1,404.15,OCHEM,5985,True
575,S1N=C2C=CC=CC2=N1,316.15,OCHEM,18725,True
577,C[Si](C)(Cl)CC[Si](C)(C)Cl,310.15,OCHEM,18460,True
582,COC(=O)CCC(C)C1CCC2C3C(CC(=O)C12C)C1(C)CCCCC1CC3=O,413.15,OCHEM,18342,True
584,[O-][N+](=O)C1=C(F)C(C#N)=C(F)C=C1,325.65,OCHEM,18979,True
585,O=C(CC1=CC=C(OC2=CC=CC=C2)C=C1)C1=CC=CC=C1,332.25,OCHEM,2380,True
588,ON(C=C(C(O)=O)C1=CC=CC=C1)C1=CC=CC=C1,348.15,OCHEM,13084,True
589,OC(=O)CCCC1=CC=C(Br)C=C1,341.15,OCHEM,2864,True
592,OC(=O)CCC(=O)NC1=CC=CC=C1,421.15,OCHEM,7774,True
593,COC1=CC=C(CCNC(=O)C=C/C2=CC(O)=C(O)C=C2)C=C1OC,372.15,OCHEM,12030,True
594,CC1(C)C=CC=C(C=C1)C(O)=O,361.65,OCHEM,8602,True
596,ClC1=NC=NC2=C1C(=CS2)C1=CC=CC=C1,403.15,OCHEM,20379,True
597,ClC1=CC(Cl)=C(C(Cl)=C1)S(Cl)(=O)=O,319.15,OCHEM,18822,False
598,CC(C)CC1=CC=CC=C1,222.15,OCHEM,3954,True
599,CN1C(S)=NN=C1C1=CC=CS1,427.15,OCHEM,5046,True
600,CCCCCC(C)Br,320.15,OCHEM,10030,True
601,OC1=CC=CC=C1NC1=CC=C(C=C1[N+]([O-])=O)[N+]([O-])=O,470.65,OCHEM,17097,True
602,NC1=CC2=C(SC=N2)C=C1,330.15,OCHEM,2778,True
603,OC(C1=C(F)C(F)=C(F)C(F)=C1F)C1=C(F)C(F)=C(F)C(F)=C1F,351.15,OCHEM,4245,True
604,[O-][N+](=O)C1=CC=CC2=C1NN=C2Br,453.15,OCHEM,6947,True
605,CN(C)C(=O)C(C(F)(F)F)C(F)(F)F,327.15,OCHEM,18312,False
606,CC1=CC=CC(=C1O)N(=O)=O,343.15,OCHEM,10946,True
607,OC(=O)C1=C(Br)C=CS1,468.65,OCHEM,19851,True
610,CC1=CC=CN2C(=O)C(=CN=C12)C(=O)C1=CC=CC=C1,419.15,OCHEM,14358,True
611,CC(=O)ON(C=C1C2CCC(C)(C1=O)C2(C)C)C1=CC=CC=C1,436.15,OCHEM,12833,True
612,C[P+]([O-])(CCCCN1C(=O)C2=CC=CC=C2C1=O)OCCCCN1C(=O)C2=CC=CC=C2C1=O,387.15,OCHEM,17028,True
616,OCCCCCCCCCCCC(O)=O,359.65,OCHEM,18145,True
617,CC1=CC(=O)NC(=S)N1,591.15,OCHEM,12168,True
618,ClC1=CC=CC(COC2=C(C=O)C=CC=C2)=C1,312.65,OCHEM,3899,True
619,CN1C(=O)ON(C1=O)C1=CC(Cl)=C(Cl)C=C1,396.15,OCHEM,11145,True
621,BrCC(=O)C1=CC2=C(OCO2)C=C1,365.15,OCHEM,4696,True
623,CC1=NC(C)=C(C)C=C1,310.15,OCHEM,11296,True
624,FC(=C(F)C(F)(F)F)C(F)(F)F,144.15,OCHEM,231,True
625,OC(=O)C1=CC=C(CN2CCCCC2)C=C1,563.15,OCHEM,4806,True
